file,line,column,type,code,message,docs,severity,link
modules/proposals/class-proposal-client.php,58,16,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=58
modules/proposals/class-proposal-client.php,58,16,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=58
modules/proposals/class-proposal-client.php,109,13,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=109
modules/proposals/class-proposal-client.php,109,13,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=109
modules/proposals/class-proposal-client.php,123,9,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=123
modules/proposals/class-proposal-client.php,177,9,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=177
modules/proposals/class-proposal-client.php,177,9,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=177
modules/proposals/class-proposal-client.php,189,9,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=189
modules/proposals/class-proposal-client.php,194,51,WARNING,WordPress.Security.ValidatedSanitizedInput.MissingUnslash,"$_SERVER[&#039;REMOTE_ADDR&#039;] not unslashed before sanitization. Use wp_unslash() or similar",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=194
modules/proposals/class-proposal-client.php,194,51,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,"Detected usage of a non-sanitized input variable: $_SERVER[&#039;REMOTE_ADDR&#039;]",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fproposals%2Fclass-proposal-client.php&line=194
